"O_trunc" "O_eps" "eps_speed" "prob"
5 1 20 0.487426764820171
5 1 20 0.521736772500334
6 1 20 0.419014812076983
12 21 20 0.52729975876987
3 1 20 0.62417984675652
4 21 20 0.568982249199973
3 1 20 0.549512223057401
3 1 20 0.672211183884259
4 1 20 0.540351297880288
3 1 20 0.651152527283814
4 1 20 0.494478269653245
5 1 20 0.401585640481411
5 21 20 0.511653595423579
6 1 20 0.390646463405313
5 1 20 0.466653030081011
5 1 20 0.421121518561933
5 1 20 0.379349565869131
5 1 20 0.494701603604176
8 21 20 0.359224842071479
8 1 20 0.47475272855805
